"Table 1. Per Capita Personal Income by County, 2017 - 2019",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in State,Percent change,,Rank in State
Kansas,"48,883","51,261","53,426",--,4.9,4.2,--
Allen,"37,513","39,762","43,163",87,6.0,8.6,55
Anderson,"37,679","38,609","42,046",93,2.5,8.9,52
Atchison,"36,488","38,083","40,335",100,4.4,5.9,67
Barber,"39,730","43,843","48,489",52,10.4,10.6,40
Barton,"45,205","46,210","49,460",50,2.2,7.0,60
Bourbon,"40,950","45,087","46,149",71,10.1,2.4,102
Brown,"42,047","45,750","47,930",57,8.8,4.8,79
Butler,"43,770","46,109","48,216",55,5.3,4.6,83
Chase,"45,897","52,086","53,882",32,13.5,3.4,96
Chautauqua,"38,367","40,668","43,327",86,6.0,6.5,63
Cherokee,"37,352","40,941","42,872",88,9.6,4.7,80
Cheyenne,"41,255","47,393","54,890",30,14.9,15.8,16
Clark,"55,513","60,746","64,457",14,9.4,6.1,66
Clay,"40,130","42,603","46,888",63,6.2,10.1,44
Cloud,"35,544","38,732","41,892",94,9.0,8.2,56
Coffey,"48,860","53,008","55,119",27,8.5,4.0,88
Comanche,"37,642","43,660","46,878",64,16.0,7.4,58
Cowley,"36,499","37,968","40,042",101,4.0,5.5,73
Crawford,"36,446","38,253","39,788",103,5.0,4.0,87
Decatur,"42,156","43,544","50,635",46,3.3,16.3,15
Dickinson,"38,991","41,247","44,101",82,5.8,6.9,61
Doniphan,"38,189","39,378","44,486",78,3.1,13.0,32
Douglas,"41,866","43,939","45,163",74,5.0,2.8,101
Edwards,"53,700","56,221","62,707",16,4.7,11.5,35
Elk,"36,846","39,323","41,529",96,6.7,5.6,68
Ellis,"43,455","45,980","47,758",59,5.8,3.9,90
Ellsworth,"40,558","44,043","48,380",54,8.6,9.8,45
Finney,"41,456","44,357","46,823",65,7.0,5.6,70
Ford,"37,462","39,219","41,373",97,4.7,5.5,72
Franklin,"40,722","42,671","44,472",79,4.8,4.2,84
Geary,"46,935","49,004","51,410",44,4.4,4.9,77
Gove,"55,758","58,545","66,403",10,5.0,13.4,27
Graham,"44,923","49,676","56,940",22,10.6,14.6,21
Grant,"43,050","48,845","54,892",29,13.5,12.4,34
Gray,"64,148","67,148","75,961",6,4.7,13.1,31
Greeley,"72,271","76,059","98,916",1,5.2,30.1,2
Greenwood,"40,047","41,446","44,689",76,3.5,7.8,57
Hamilton,"49,725","56,042","69,339",9,12.7,23.7,3
Harper,"43,487","47,514","54,894",28,9.3,15.5,18
Harvey,"39,767","42,185","44,416",80,6.1,5.3,75
Haskell,"65,051","64,299","77,955",4,-1.2,21.2,6
Hodgeman,"52,037","57,731","65,688",12,10.9,13.8,25
Jackson,"39,821","41,728","43,447",85,4.8,4.1,86
Jefferson,"42,702","44,670","46,234",69,4.6,3.5,95
Jewell,"44,348","50,595","57,690",21,14.1,14.0,23
Johnson,"70,956","74,467","76,206",5,4.9,2.3,103
Kearny,"49,005","51,236","59,187",19,4.6,15.5,19
Kingman,"41,172","43,615","48,512",51,5.9,11.2,38
Kiowa,"40,921","42,873","47,726",60,4.8,11.3,37
Labette,"40,474","42,426","44,760",75,4.8,5.5,71
Lane,"66,295","72,131","85,007",3,8.8,17.9,10
Leavenworth,"41,229","42,625","44,075",83,3.4,3.4,97
Lincoln,"37,541","42,741","48,445",53,13.9,13.3,28
Linn,"36,878","38,465","41,013",99,4.3,6.6,62
Logan,"43,399","46,559","53,800",33,7.3,15.6,17
Lyon,"36,809","38,525","39,962",102,4.7,3.7,92
McPherson,"47,035","51,688","56,617",23,9.9,9.5,49
Marion,"39,237","42,032","45,681",72,7.1,8.7,53
Marshall,"41,439","43,857","46,580",67,5.8,6.2,65
Meade,"53,743","58,221","66,270",11,8.3,13.8,24
Miami,"46,594","48,482","50,210",47,4.1,3.6,94
Mitchell,"49,356","57,285","62,780",15,16.1,9.6,48
Montgomery,"35,249","37,326","39,041",104,5.9,4.6,82
Morris,"41,324","44,719","46,409",68,8.2,3.8,91
Morton,"40,827","44,634","53,296",37,9.3,19.4,8
Nemaha,"50,792","52,600","53,211",38,3.6,1.2,105
Neosho,"37,172","39,139","41,324",98,5.3,5.6,69
Ness,"45,899","51,195","58,901",20,11.5,15.1,20
Norton,"42,188","42,287","47,838",58,0.2,13.1,30
Osage,"39,138","41,816","43,460",84,6.8,3.9,89
Osborne,"39,910","48,241","52,889",39,20.9,9.6,47
Ottawa,"39,702","41,831","45,417",73,5.4,8.6,54
Pawnee,"39,014","40,364","46,226",70,3.5,14.5,22
Phillips,"48,220","50,870","56,113",24,5.5,10.3,41
Pottawatomie,"50,972","52,828","55,271",26,3.6,4.6,81
Pratt,"44,724","47,842","53,891",31,7.0,12.6,33
Rawlins,"47,211","51,454","62,147",18,9.0,20.8,7
Reno,"39,138","40,109","42,115",92,2.5,5.0,76
Republic,"42,606","44,153","50,019",48,3.6,13.3,29
Rice,"41,262","43,323","47,243",61,5.0,9.0,51
Riley,"40,752","41,026","42,528",89,0.7,3.7,93
Rooks,"36,200","40,292","44,398",81,11.3,10.2,42
Rush,"41,283","47,027","52,199",42,13.9,11.0,39
Russell,"42,449","44,633","47,049",62,5.1,5.4,74
Saline,"47,582","49,366","50,820",45,3.7,2.9,100
Scott,"62,849","63,771","74,223",8,1.5,16.4,14
Sedgwick,"50,424","52,010","53,577",35,3.1,3.0,99
Seward,"36,752","38,719","41,567",95,5.4,7.4,59
Shawnee,"44,493","46,957","47,991",56,5.5,2.2,104
Sheridan,"48,733","46,140","62,156",17,-5.3,34.7,1
Sherman,"41,580","44,450","46,588",66,6.9,4.8,78
Smith,"40,859","45,541","53,381",36,11.5,17.2,11
Stafford,"44,379","47,655","55,629",25,7.4,16.7,13
Stanton,"60,183","62,021","75,841",7,3.1,22.3,4
Stevens,"39,531","42,270","49,540",49,6.9,17.2,12
Sumner,"36,933","38,888","42,524",90,5.3,9.3,50
Thomas,"43,879","47,904","52,540",41,9.2,9.7,46
Trego,"43,968","48,675","53,593",34,10.7,10.1,43
Wabaunsee,"48,735","50,610","52,706",40,3.8,4.1,85
Wallace,"43,735","53,187","64,805",13,21.6,21.8,5
Washington,"41,791","45,872","52,141",43,9.8,13.7,26
Wichita,"68,609","72,465","86,215",2,5.6,19.0,9
Wilson,"41,636","41,871","44,521",77,0.6,6.3,64
Woodson,"34,749","37,911","42,276",91,9.1,11.5,36
Wyandotte,"32,119","33,407","34,518",105,4.0,3.3,98
,,,,,,,
Kentucky,"40,904","42,338","43,770",--,3.5,3.4,--
Adair,"30,396","31,481","32,549",95,3.6,3.4,64
Allen,"32,114","32,308","32,881",93,0.6,1.8,110
Anderson,"38,165","39,241","40,581",27,2.8,3.4,63
Ballard,"37,115","36,851","38,711",40,-0.7,5.0,8
Barren,"35,481","36,302","37,337",55,2.3,2.9,89
Bath,"29,842","30,366","31,327",110,1.8,3.2,74
Bell,"28,563","29,801","30,649",112,4.3,2.8,90
Boone,"45,705","47,823","49,778",8,4.6,4.1,32
Bourbon,"47,997","49,066","51,505",6,2.2,5.0,10
Boyd,"37,362","39,503","40,453",28,5.7,2.4,100
Boyle,"36,508","37,747","38,958",38,3.4,3.2,70
Bracken,"35,468","37,039","38,692",41,4.4,4.5,21
Breathitt,"32,708","33,410","34,232",82,2.1,2.5,97
Breckinridge,"33,293","33,475","34,418",79,0.5,2.8,91
Bullitt,"39,464","41,143","42,799",19,4.3,4.0,36
Butler,"33,450","34,141","35,121",73,2.1,2.9,85
Caldwell,"33,009","33,458","35,437",69,1.4,5.9,4
Calloway,"34,088","35,107","35,878",67,3.0,2.2,105
Campbell,"46,659","48,546","50,398",7,4.0,3.8,47
Carlisle,"41,001","39,874","42,991",18,-2.7,7.8,1
Carroll,"34,170","36,056","37,806",49,5.5,4.9,15
Carter,"30,005","30,645","31,713",104,2.1,3.5,59
Casey,"30,082","30,787","31,688",105,2.3,2.9,83
Christian,"37,566","37,944","39,504",32,1.0,4.1,30
Clark,"38,661","39,054","40,413",29,1.0,3.5,60
Clay,"29,891","30,532","31,200",111,2.1,2.2,107
Clinton,"30,386","31,444","31,601",108,3.5,0.5,117
Crittenden,"33,497","34,657","36,354",63,3.5,4.9,12
Cumberland,"33,054","34,369","36,467",62,4.0,6.1,3
Daviess,"40,368","41,517","42,372",22,2.8,2.1,108
Edmonson,"32,088","32,725","34,037",85,2.0,4.0,38
Elliott,"21,782","22,294","22,828",120,2.4,2.4,102
Estill,"30,915","31,956","32,928",92,3.4,3.0,78
Fayette,"47,857","50,106","51,707",5,4.7,3.2,71
Fleming,"32,946","33,913","34,732",76,2.9,2.4,99
Floyd,"35,569","36,099","37,133",57,1.5,2.9,86
Franklin,"40,616","41,934","43,271",17,3.2,3.2,72
Fulton,"33,209","33,357","35,240",71,0.4,5.6,5
Gallatin,"31,393","32,579","33,697",86,3.8,3.4,62
Garrard,"33,547","34,365","35,251",70,2.4,2.6,94
Grant,"34,704","35,649","37,083",58,2.7,4.0,37
Graves,"36,835","37,727","38,485",44,2.4,2.0,109
Grayson,"32,394","33,187","34,450",78,2.4,3.8,48
Green,"34,161","34,247","34,997",74,0.3,2.2,106
Greenup,"38,704","41,411","42,516",21,7.0,2.7,93
Hancock,"35,138","37,352","38,722",39,6.3,3.7,53
Hardin,"41,980","42,646","44,244",15,1.6,3.7,51
Harlan,"29,664","30,898","31,824",103,4.2,3.0,81
Harrison,"34,029","34,970","36,545",61,2.8,4.5,19
Hart,"31,212","32,818","33,648",87,5.1,2.5,95
Henderson,"38,580","39,474","41,279",25,2.3,4.6,18
Henry,"36,716","37,745","39,175",36,2.8,3.8,49
Hickman,"42,185","43,107","42,635",20,2.2,-1.1,118
Hopkins,"38,932","38,811","40,317",30,-0.3,3.9,43
Jackson,"27,953","28,818","29,848",115,3.1,3.6,57
Jefferson,"49,726","52,405","54,155",3,5.4,3.3,66
Jessamine,"43,664","44,841","46,250",11,2.7,3.1,75
Johnson,"31,883","32,967","34,356",80,3.4,4.2,26
Kenton,"55,029","56,491","58,349",2,2.7,3.3,67
Knott,"29,111","30,403","31,929",100,4.4,5.0,9
Knox,"28,654","29,195","30,105",113,1.9,3.1,77
Larue,"35,396","36,539","38,316",45,3.2,4.9,13
Laurel,"32,960","33,763","34,289",81,2.4,1.6,111
Lawrence,"30,323","31,614","33,213",90,4.3,5.1,7
Lee,"30,870","29,636","29,162",116,-4.0,-1.6,120
Leslie,"31,547","32,536","34,079",84,3.1,4.7,16
Letcher,"29,392","30,541","31,871",101,3.9,4.4,23
Lewis,"29,977","31,003","32,147",99,3.4,3.7,52
Lincoln,"30,967","31,667","32,881",93,2.3,3.8,46
Livingston,"36,178","36,714","38,515",42,1.5,4.9,11
Logan,"34,583","35,335","36,834",60,2.2,4.2,25
Lyon,"34,132","35,804","37,276",56,4.9,4.1,31
McCracken,"46,391","47,034","49,087",9,1.4,4.4,22
McCreary,"25,035","25,857","26,600",119,3.3,2.9,84
McLean,"39,729","39,770","39,163",37,0.1,-1.5,119
Madison,"34,574","35,271","36,331",65,2.0,3.0,79
Magoffin,"29,717","31,262","32,995",91,5.2,5.5,6
Marion,"35,000","36,089","37,340",54,3.1,3.5,61
Marshall,"39,363","40,532","42,342",23,3.0,4.5,20
Martin,"29,100","29,447","29,905",114,1.2,1.6,112
Mason,"39,037","39,749","41,350",24,1.8,4.0,35
Meade,"38,572","39,348","40,942",26,2.0,4.1,34
Menifee,"29,510","30,253","31,681",106,2.5,4.7,17
Mercer,"36,217","36,784","37,806",49,1.6,2.8,92
Metcalfe,"30,067","30,880","31,848",102,2.7,3.1,76
Monroe,"36,017","36,614","36,837",59,1.7,0.6,116
Montgomery,"34,007","34,573","35,915",66,1.7,3.9,42
Morgan,"26,435","26,854","27,978",118,1.6,4.2,28
Muhlenberg,"33,532","33,511","35,138",72,-0.1,4.9,14
Nelson,"40,746","42,184","43,809",16,3.5,3.9,45
Nicholas,"33,932","33,848","34,856",75,-0.2,3.0,82
Ohio,"32,293","32,833","33,313",89,1.7,1.5,113
Oldham,"59,734","63,982","66,238",1,7.1,3.5,58
Owen,"32,575","33,136","33,365",88,1.7,0.7,115
Owsley,"30,783","31,322","32,461",97,1.8,3.6,54
Pendleton,"44,143","43,466","45,039",13,-1.5,3.6,55
Perry,"36,739","37,737","39,308",34,2.7,4.2,29
Pike,"35,155","36,448","37,490",52,3.7,2.9,87
Powell,"31,131","31,629","32,532",96,1.6,2.9,88
Pulaski,"35,459","36,919","38,492",43,4.1,4.3,24
Robertson,"32,462","32,903","34,196",83,1.4,3.9,39
Rockcastle,"30,428","31,079","32,294",98,2.1,3.9,41
Rowan,"29,634","30,813","31,566",109,4.0,2.4,98
Russell,"33,145","36,193","37,346",53,9.2,3.2,73
Scott,"42,019","42,887","44,335",14,2.1,3.4,65
Shelby,"43,906","45,173","46,657",10,2.9,3.3,68
Simpson,"37,413","37,755","39,235",35,0.9,3.9,40
Spencer,"42,162","43,573","45,208",12,3.3,3.8,50
Taylor,"33,894","34,428","35,546",68,1.6,3.2,69
Todd,"37,263","36,698","38,112",48,-1.5,3.9,44
Trigg,"36,348","36,120","37,633",51,-0.6,4.2,27
Trimble,"35,821","37,856","39,400",33,5.7,4.1,33
Union,"33,233","34,185","36,348",64,2.9,6.3,2
Warren,"36,803","37,337","38,268",46,1.5,2.5,96
Washington,"36,730","37,314","38,210",47,1.6,2.4,101
Wayne,"27,676","28,633","28,935",117,3.5,1.1,114
Webster,"39,176","39,046","39,965",31,-0.3,2.4,103
Whitley,"32,491","33,654","34,663",77,3.6,3.0,80
Wolfe,"30,407","30,967","31,658",107,1.8,2.2,104
Woodford,"50,657","51,443","53,292",4,1.6,3.6,56
,,,,,,,
Louisiana,"43,932","46,207","47,460",--,5.2,2.7,--
Acadia,"35,161","37,060","37,786",48,5.4,2.0,56
Allen,"31,584","33,501","34,644",56,6.1,3.4,15
Ascension,"47,863","49,403","50,671",7,3.2,2.6,42
Assumption,"43,542","46,833","47,947",14,7.6,2.4,49
Avoyelles,"35,933","37,864","39,001",44,5.4,3.0,28
Beauregard,"41,134","42,318","43,473",20,2.9,2.7,35
Bienville,"35,726","38,430","39,111",41,7.6,1.8,58
Bossier,"41,722","43,950","45,110",18,5.3,2.6,40
Caddo,"45,544","49,242","50,690",6,8.1,2.9,31
Calcasieu,"46,175","48,570","49,664",8,5.2,2.3,52
Caldwell,"32,350","33,790","35,353",51,4.5,4.6,5
Cameron,"46,624","47,875","49,000",12,2.7,2.3,50
Catahoula,"31,790","33,047","35,037",52,4.0,6.0,2
Claiborne,"32,926","34,084","34,954",53,3.5,2.6,44
Concordia,"31,680","32,606","34,110",57,2.9,4.6,6
De Soto,"38,668","41,300","42,298",27,6.8,2.4,48
East Baton Rouge,"48,806","51,621","53,002",3,5.8,2.7,39
East Carroll,"34,943","35,274","36,035",49,0.9,2.2,54
East Feliciana,"39,391","41,089","42,353",26,4.3,3.1,26
Evangeline,"32,118","33,074","33,474",60,3.0,1.2,60
Franklin,"31,160","31,968","33,250",62,2.6,4.0,12
Grant,"30,593","30,987","31,890",64,1.3,2.9,32
Iberia,"37,321","39,148","40,403",38,4.9,3.2,22
Iberville,"39,328","40,943","42,418",24,4.1,3.6,14
Jackson,"32,857","33,871","34,843",54,3.1,2.9,34
Jefferson,"48,737","50,895","52,274",5,4.4,2.7,36
Jefferson Davis,"39,716","41,591","42,519",23,4.7,2.2,53
Lafayette,"47,603","48,707","49,629",10,2.3,1.9,57
Lafourche,"44,034","44,316","45,806",17,0.6,3.4,19
LaSalle,"29,772","31,898","33,992",58,7.1,6.6,1
Lincoln,"38,646","40,108","40,541",36,3.8,1.1,61
Livingston,"39,328","41,147","42,217",29,4.6,2.6,41
Madison,"31,399","31,945","33,275",61,1.7,4.2,9
Morehouse,"37,003","37,884","39,521",40,2.4,4.3,7
Natchitoches,"37,829","40,175","41,846",31,6.2,4.2,10
Orleans,"49,857","52,516","53,923",2,5.3,2.7,37
Ouachita,"39,136","41,341","42,398",25,5.6,2.6,43
Plaquemines,"47,090","47,895","49,507",11,1.7,3.4,18
Pointe Coupee,"43,209","45,710","47,083",15,5.8,3.0,27
Rapides,"42,805","45,085","46,614",16,5.3,3.4,17
Red River,"39,070","44,810","44,440",19,14.7,-0.8,63
Richland,"35,628","37,565","39,080",42,5.4,4.0,11
Sabine,"33,583","35,591","36,025",50,6.0,1.2,59
St. Bernard,"31,433","32,454","33,556",59,3.2,3.4,16
St. Charles,"47,371","48,436","49,660",9,2.2,2.5,46
St. Helena,"39,867","41,786","43,338",21,4.8,3.7,13
St. James,"45,916","50,953","52,567",4,11.0,3.2,23
St. John the Baptist,"38,941","40,036","41,368",32,2.8,3.3,20
St. Landry,"38,987","40,598","41,922",30,4.1,3.3,21
St. Martin,"35,693","38,034","39,053",43,6.6,2.7,38
St. Mary,"37,318","39,580","40,746",35,6.1,2.9,29
St. Tammany,"58,810","64,548","65,938",1,9.8,2.2,55
Tangipahoa,"36,810","37,713","38,800",46,2.5,2.9,33
Tensas,"38,482","39,132","41,323",33,1.7,5.6,3
Terrebonne,"39,511","41,058","42,267",28,3.9,2.9,30
Union,"37,802","40,469","40,441",37,7.1,-0.1,62
Vermilion,"37,091","39,241","40,237",39,5.8,2.5,45
Vernon,"39,286","41,452","42,755",22,5.5,3.1,24
Washington,"32,105","33,348","34,744",55,3.9,4.2,8
Webster,"37,998","39,624","40,860",34,4.3,3.1,25
West Baton Rouge,"45,694","46,991","48,144",13,2.8,2.5,47
West Carroll,"33,156","35,267","33,073",63,6.4,-6.2,64
West Feliciana,"36,422","38,036","38,926",45,4.4,2.3,51
Winn,"34,374","36,254","37,988",47,5.5,4.8,4
,,,,,,,
Maine,"46,565","48,792","50,634",--,4.8,3.8,--
Androscoggin,"39,734","41,375","42,968",11,4.1,3.9,7
Aroostook,"39,927","41,576","43,189",9,4.1,3.9,5
Cumberland,"59,349","62,794","64,948",1,5.8,3.4,11
Franklin,"36,868","38,690","40,189",13,4.9,3.9,6
Hancock,"48,715","50,655","52,294",4,4.0,3.2,12
Kennebec,"42,985","44,804","46,958",7,4.2,4.8,2
Knox,"49,624","50,340","51,959",5,1.4,3.2,13
Lincoln,"48,636","50,215","51,687",6,3.2,2.9,15
Oxford,"36,222","37,879","39,240",16,4.6,3.6,10
Penobscot,"39,791","41,615","43,136",10,4.6,3.7,9
Piscataquis,"36,568","38,629","39,614",14,5.6,2.5,16
Sagadahoc,"48,630","50,787","52,736",3,4.4,3.8,8
Somerset,"36,702","37,752","39,282",15,2.9,4.1,3
Waldo,"38,841","41,427","43,793",8,6.7,5.7,1
Washington,"38,551","39,854","41,094",12,3.4,3.1,14
York,"49,672","52,186","54,225",2,5.1,3.9,4
,,,,,,,
Maryland,"60,758","62,708","64,640",--,3.2,3.1,--
Allegany,"38,990","39,985","41,454",23,2.6,3.7,4
Anne Arundel,"64,723","67,078","69,035",4,3.6,2.9,18
Baltimore,"58,887","61,139","62,976",10,3.8,3.0,14
Calvert,"60,067","61,949","63,976",8,3.1,3.3,9
Caroline,"44,791","45,687","46,883",21,2.0,2.6,21
Carroll,"60,587","62,200","64,288",6,2.7,3.4,8
Cecil,"45,956","47,796","49,749",17,4.0,4.1,2
Charles,"54,932","56,119","57,774",14,2.2,2.9,17
Dorchester,"44,712","45,935","47,699",20,2.7,3.8,3
Frederick,"59,713","62,307","64,147",7,4.3,3.0,16
Garrett,"43,735","45,769","47,735",19,4.7,4.3,1
Harford,"56,589","58,440","60,266",11,3.3,3.1,11
Howard,"75,293","77,039","79,253",2,2.3,2.9,19
Kent,"58,905","61,202","63,141",9,3.9,3.2,10
Montgomery,"85,988","87,654","90,139",1,1.9,2.8,20
Prince George's,"47,347","49,105","50,625",16,3.7,3.1,13
Queen Anne's,"62,689","64,502","66,733",5,2.9,3.5,7
St. Mary's,"54,546","56,815","58,582",13,4.2,3.1,12
Somerset,"31,313","31,486","31,668",24,0.6,0.6,24
Talbot,"70,023","72,554","74,711",3,3.6,3.0,15
Washington,"45,242","46,971","48,650",18,3.8,3.6,5
Wicomico,"41,287","41,626","42,547",22,0.8,2.2,22
Worcester,"58,475","59,025","60,222",12,0.9,2.0,23
Baltimore City,"49,083","51,577","53,378",15,5.1,3.5,6
,,,,,,,
Massachusetts,"68,442","71,801","74,187",--,4.9,3.3,--
Barnstable,"71,080","74,714","77,435",6,5.1,3.6,2
Berkshire,"54,396","56,651","58,299",10,4.1,2.9,12
Bristol,"51,780","53,853","55,718",12,4.0,3.5,6
Dukes,"89,602","97,659","100,996",2,9.0,3.4,8
Essex,"64,629","67,646","69,981",7,4.7,3.5,7
Franklin,"52,821","54,817","56,793",11,3.8,3.6,4
Hampden,"49,631","51,736","53,248",14,4.2,2.9,11
Hampshire,"51,065","52,910","54,867",13,3.6,3.7,1
Middlesex,"79,970","84,367","87,192",4,5.5,3.3,9
Nantucket,"119,211","132,886","136,204",1,11.5,2.5,14
Norfolk,"87,928","92,248","95,221",3,4.9,3.2,10
Plymouth,"64,417","67,270","69,669",8,4.4,3.6,5
Suffolk,"76,782","81,300","83,490",5,5.9,2.7,13
Worcester,"54,599","56,507","58,563",9,3.5,3.6,3
,,,,,,,
Michigan,"45,948","47,777","49,228",--,4.0,3.0,--
Alcona,"36,730","38,702","41,049",43,5.4,6.1,4
Alger,"31,953","33,442","34,233",79,4.7,2.4,71
Allegan,"42,466","44,686","45,937",20,5.2,2.8,60
Alpena,"39,529","40,278","41,783",35,1.9,3.7,24
Antrim,"44,559","46,225","47,855",17,3.7,3.5,33
Arenac,"36,047","37,780","39,009",55,4.8,3.3,45
Baraga,"31,504","32,448","34,044",81,3.0,4.9,8
Barry,"42,710","44,408","45,804",21,4.0,3.1,48
Bay,"40,130","42,367","43,657",31,5.6,3.0,52
Benzie,"41,268","42,795","44,283",28,3.7,3.5,36
Berrien,"45,376","47,461","48,237",14,4.6,1.6,80
Branch,"35,214","36,437","37,202",67,3.5,2.1,77
Calhoun,"38,408","39,160","40,257",50,2.0,2.8,59
Cass,"42,932","44,675","45,409",24,4.1,1.6,79
Charlevoix,"49,398","52,284","53,136",8,5.8,1.6,81
Cheboygan,"37,777","38,838","40,405",48,2.8,4.0,16
Chippewa,"32,436","33,733","35,034",75,4.0,3.9,22
Clare,"32,902","33,846","34,637",77,2.9,2.3,72
Clinton,"44,185","45,797","47,411",19,3.6,3.5,34
Crawford,"32,337","34,290","35,407",73,6.0,3.3,44
Delta,"38,313","39,680","41,210",41,3.6,3.9,23
Dickinson,"46,271","48,520","49,179",12,4.9,1.4,82
Eaton,"40,659","42,089","43,365",32,3.5,3.0,53
Emmet,"53,960","56,242","58,528",5,4.2,4.1,15
Genesee,"39,198","40,618","41,929",33,3.6,3.2,47
Gladwin,"35,432","36,519","37,512",64,3.1,2.7,63
Gogebic,"37,204","39,790","44,113",30,7.0,10.9,1
Grand Traverse,"48,085","49,987","51,619",9,4.0,3.3,43
Gratiot,"35,631","36,816","38,274",61,3.3,4.0,20
Hillsdale,"34,043","35,221","36,033",70,3.5,2.3,73
Houghton,"35,594","37,519","39,124",54,5.4,4.3,12
Huron,"44,192","45,505","47,909",16,3.0,5.3,5
Ingham,"38,630","40,109","41,286",40,3.8,2.9,57
Ionia,"32,969","34,751","35,518",72,5.4,2.2,75
Iosco,"35,945","37,429","39,832",51,4.1,6.4,3
Iron,"42,733","43,968","45,463",23,2.9,3.4,39
Isabella,"33,433","34,740","36,356",69,3.9,4.7,9
Jackson,"37,821","39,173","40,387",49,3.6,3.1,49
Kalamazoo,"46,373","48,279","49,493",10,4.1,2.5,69
Kalkaska,"33,272","34,500","35,387",74,3.7,2.6,66
Kent,"50,698","52,313","53,664",7,3.2,2.6,65
Keweenaw,"45,194","46,997","47,963",15,4.0,2.1,78
Lake,"30,009","31,925","33,368",82,6.4,4.5,10
Lapeer,"41,620","43,292","44,706",26,4.0,3.3,42
Leelanau,"62,660","66,260","68,281",2,5.7,3.1,51
Lenawee,"37,773","39,529","40,932",44,4.6,3.5,32
Livingston,"55,541","57,180","58,879",4,3.0,3.0,55
Luce,"29,960","31,063","32,174",83,3.7,3.6,30
Mackinac,"41,819","43,414","45,138",25,3.8,4.0,19
Macomb,"44,439","46,079","47,487",18,3.7,3.1,50
Manistee,"36,631","38,151","39,389",53,4.1,3.2,46
Marquette,"38,166","39,683","40,772",45,4.0,2.7,62
Mason,"39,076","40,308","41,488",38,3.2,2.9,58
Mecosta,"32,444","33,244","34,090",80,2.5,2.5,68
Menominee,"41,104","42,717","44,114",29,3.9,3.3,41
Midland,"57,548","54,371","55,972",6,-5.5,2.9,56
Missaukee,"34,084","34,565","36,922",68,1.4,6.8,2
Monroe,"45,252","46,881","48,581",13,3.6,3.6,28
Montcalm,"33,218","34,261","35,537",71,3.1,3.7,25
Montmorency,"35,379","36,747","38,079",62,3.9,3.6,29
Muskegon,"36,971","38,289","39,637",52,3.6,3.5,35
Newaygo,"36,698","36,954","38,429",60,0.7,4.0,18
Oakland,"68,745","71,347","73,271",1,3.8,2.7,64
Oceana,"35,909","37,398","38,856",58,4.1,3.9,21
Ogemaw,"33,141","35,038","34,770",76,5.7,-0.8,83
Ontonagon,"37,900","39,348","41,363",39,3.8,5.1,7
Osceola,"34,038","35,793","37,636",63,5.2,5.1,6
Oscoda,"32,283","33,390","34,549",78,3.4,3.5,37
Otsego,"38,551","40,310","41,925",34,4.6,4.0,17
Ottawa,"46,685","48,142","49,345",11,3.1,2.5,70
Presque Isle,"37,597","39,913","41,560",37,6.2,4.1,14
Roscommon,"35,173","36,681","37,507",65,4.3,2.3,74
Saginaw,"37,203","39,521","40,533",47,6.2,2.6,67
St. Clair,"42,252","44,056","45,662",22,4.3,3.6,27
St. Joseph,"37,351","38,099","38,936",56,2.0,2.2,76
Sanilac,"36,453","37,775","38,917",57,3.6,3.0,54
Schoolcraft,"38,045","39,657","41,073",42,4.2,3.6,31
Shiawassee,"37,578","39,107","40,535",46,4.1,3.7,26
Tuscola,"35,885","37,061","38,676",59,3.3,4.4,11
Van Buren,"39,347","40,656","41,773",36,3.3,2.7,61
Washtenaw,"56,312","58,823","60,843",3,4.5,3.4,38
Wayne,"40,858","43,088","44,512",27,5.5,3.3,40
Wexford,"34,759","35,727","37,240",66,2.8,4.2,13
,,,,,,,
Minnesota,"54,960","57,371","58,834",--,4.4,2.6,--
Aitkin,"37,960","40,077","41,327",84,5.6,3.1,48
Anoka,"49,338","51,069","52,250",31,3.5,2.3,67
Becker,"45,876","47,163","49,190",52,2.8,4.3,22
Beltrami,"39,541","41,237","42,212",82,4.3,2.4,64
Benton,"42,669","44,080","45,458",70,3.3,3.1,47
Big Stone,"52,682","53,692","55,491",21,1.9,3.4,44
Blue Earth,"42,949","45,255","46,793",65,5.4,3.4,41
Brown,"51,339","53,990","55,904",18,5.2,3.5,33
Carlton,"41,181","42,791","44,391",75,3.9,3.7,30
Carver,"68,395","71,268","72,852",2,4.2,2.2,73
Cass,"45,617","46,935","47,981",57,2.9,2.2,72
Chippewa,"47,246","48,600","51,230",36,2.9,5.4,18
Chisago,"46,915","48,662","50,093",44,3.7,2.9,54
Clay,"41,291","42,747","44,023",77,3.5,3.0,52
Clearwater,"41,270","43,879","44,765",74,6.3,2.0,75
Cook,"52,194","53,705","54,964",22,2.9,2.3,65
Cottonwood,"46,073","48,624","51,543",35,5.5,6.0,16
Crow Wing,"43,598","44,641","45,685",69,2.4,2.3,66
Dakota,"58,202","60,483","61,914",5,3.9,2.4,63
Dodge,"44,314","46,561","47,665",60,5.1,2.4,62
Douglas,"51,127","52,068","52,691",29,1.8,1.2,82
Faribault,"41,389","42,897","46,941",64,3.6,9.4,5
Fillmore,"44,147","45,269","47,061",63,2.5,4.0,25
