"Table 1. Per Capita Personal Income by County, 2017 - 2019",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in State,Percent change,,Rank in State
Santa Cruz,"64,731","68,277","71,592",10,5.5,4.9,23
Shasta,"44,808","46,589","48,438",36,4.0,4.0,48
Sierra,"43,664","45,400","47,245",40,4.0,4.1,45
Siskiyou,"44,615","46,128","48,021",37,3.4,4.1,44
Solano,"48,593","50,756","53,505",27,4.5,5.4,12
Sonoma,"60,027","63,397","66,700",13,5.6,5.2,14
Stanislaus,"42,592","43,631","45,742",43,2.4,4.8,24
Sutter,"43,215","45,376","47,605",39,5.0,4.9,22
Tehama,"40,165","41,469","43,268",48,3.2,4.3,39
Trinity,"38,383","41,184","43,471",47,7.3,5.6,9
Tulare,"39,670","40,206","42,845",49,1.4,6.6,5
Tuolumne,"45,846","47,087","48,841",35,2.7,3.7,53
Ventura,"58,970","61,900","64,715",16,5.0,4.5,32
Yolo,"52,052","53,704","56,123",23,3.2,4.5,35
Yuba,"39,744","41,533","43,536",46,4.5,4.8,25
,,,,,,,
Colorado,"55,604","58,896","61,157",--,5.9,3.8,--
Adams,"41,321","43,544","45,481",41,5.4,4.4,17
Alamosa,"36,052","38,163","40,076",52,5.9,5.0,13
Arapahoe,"57,116","61,906","64,477",12,8.4,4.2,25
Archuleta,"40,893","42,483","43,088",47,3.9,1.4,58
Baca,"46,748","45,677","43,297",46,-2.3,-5.2,64
Bent,"25,693","29,011","31,374",62,12.9,8.1,10
Boulder,"69,968","73,518","76,527",7,5.1,4.1,26
Broomfield,"63,349","68,038","70,996",10,7.4,4.3,19
Chaffee,"44,521","47,773","49,036",32,7.3,2.6,51
Cheyenne,"41,698","43,128","55,188",20,3.4,28.0,1
Clear Creek,"58,257","59,680","61,816",14,2.4,3.6,34
Conejos,"34,640","36,927","38,385",56,6.6,3.9,31
Costilla,"32,930","34,475","35,621",61,4.7,3.3,38
Crowley,"18,923","20,104","20,822",64,6.2,3.6,35
Custer,"40,511","41,846","42,381",48,3.3,1.3,60
Delta,"37,040","38,239","39,339",55,3.2,2.9,46
Denver,"74,573","79,023","81,405",5,6.0,3.0,42
Dolores,"35,111","36,518","38,005",57,4.0,4.1,27
Douglas,"70,383","75,255","78,455",6,6.9,4.3,22
Eagle,"73,923","82,342","84,765",3,11.4,2.9,43
Elbert,"54,453","57,917","60,586",15,6.4,4.6,15
El Paso,"47,077","49,003","51,117",24,4.1,4.3,20
Fremont,"33,369","35,527","36,966",60,6.5,4.1,29
Garfield,"56,498","58,474","60,285",16,3.5,3.1,40
Gilpin,"46,151","48,377","50,346",26,4.8,4.1,28
Grand,"47,150","50,550","51,891",22,7.2,2.7,50
Gunnison,"45,438","47,962","48,853",33,5.6,1.9,55
Hinsdale,"49,771","49,906","50,294",27,0.3,0.8,62
Huerfano,"40,015","40,775","41,561",50,1.9,1.9,54
Jackson,"48,207","54,857","55,715",19,13.8,1.6,57
Jefferson,"60,265","63,319","66,017",11,5.1,4.3,21
Kiowa,"44,048","47,918","54,765",21,8.8,14.3,3
Kit Carson,"39,740","38,701","45,658",40,-2.6,18.0,2
Lake,"34,557","36,867","37,391",58,6.7,1.4,59
La Plata,"53,394","57,015","58,216",17,6.8,2.1,53
Larimer,"51,748","54,207","55,884",18,4.8,3.1,41
Las Animas,"37,611","39,965","39,762",53,6.3,-0.5,63
Lincoln,"28,763","29,869","30,855",63,3.8,3.3,39
Logan,"45,615","45,426","46,697",38,-0.4,2.8,48
Mesa,"42,972","45,405","46,719",37,5.7,2.9,45
Mineral,"67,477","72,400","75,044",8,7.3,3.7,33
Moffat,"39,966","42,271","43,842",43,5.8,3.7,32
Montezuma,"40,788","42,341","43,542",45,3.8,2.8,47
Montrose,"38,226","41,124","41,852",49,7.6,1.8,56
Morgan,"42,267","45,774","47,774",36,8.3,4.4,18
Otero,"35,656","38,109","39,708",54,6.9,4.2,24
Ouray,"56,794","63,421","64,076",13,11.7,1.0,61
Park,"43,997","44,479","46,261",39,1.1,4.0,30
Phillips,"42,816","44,282","49,259",30,3.4,11.2,6
Pitkin,"139,918","154,078","158,313",1,10.1,2.7,49
Prowers,"40,244","42,348","44,623",42,5.2,5.4,12
Pueblo,"37,462","39,293","40,680",51,4.9,3.5,36
Rio Blanco,"44,377","47,591","49,846",29,7.2,4.7,14
Rio Grande,"43,559","47,606","50,408",25,9.3,5.9,11
Routt,"79,304","79,918","81,699",4,0.8,2.2,52
Saguache,"30,773","33,806","37,022",59,9.9,9.5,8
San Juan,"45,302","42,855","47,933",35,-5.4,11.8,5
San Miguel,"81,166","87,521","90,444",2,7.8,3.3,37
Sedgwick,"45,025","43,602","48,824",34,-3.2,12.0,4
Summit,"64,445","69,447","71,479",9,7.8,2.9,44
Teller,"47,694","49,131","51,206",23,3.0,4.2,23
Washington,"38,094","40,194","43,765",44,5.5,8.9,9
Weld,"44,479","48,035","50,198",28,8.0,4.5,16
Yuma,"44,418","44,539","49,201",31,0.3,10.5,7
,,,,,,,
Connecticut,"71,740","74,855","77,289",--,4.3,3.3,--
Fairfield,"111,380","117,432","121,397",1,5.4,3.4,4
Hartford,"61,708","64,118","65,720",3,3.9,2.5,8
Litchfield,"61,147","62,875","65,458",4,2.8,4.1,1
Middlesex,"65,298","67,067","69,167",2,2.7,3.1,6
New Haven,"53,582","55,779","57,748",6,4.1,3.5,3
New London,"56,543","57,912","59,717",5,2.4,3.1,7
Tolland,"53,999","55,557","57,307",7,2.9,3.1,5
Windham,"44,849","45,787","47,618",8,2.1,4.0,2
,,,,,,,
Delaware,"50,798","52,930","54,485",--,4.2,2.9,--
Kent,"40,653","41,638","43,097",3,2.4,3.5,1
New Castle,"54,657","57,229","59,175",1,4.7,3.4,2
Sussex,"49,213","51,272","52,085",2,4.2,1.6,3
,,,,,,,
District of Columbia,"79,221","81,243","83,406",--,2.6,2.7,--
,,,,,,,
Florida,"48,504","50,964","52,426",--,5.1,2.9,--
Alachua,"42,905","45,054","46,690",22,5.0,3.6,13
Baker,"31,068","32,668","33,254",52,5.1,1.8,54
Bay,"41,658","43,188","45,690",27,3.7,5.8,5
Bradford,"32,993","33,727","34,179",49,2.2,1.3,59
Brevard,"43,733","45,959","47,911",19,5.1,4.2,10
Broward,"48,456","50,538","52,308",12,4.3,3.5,16
Calhoun,"26,575","27,621","29,526",60,3.9,6.9,4
Charlotte,"40,281","41,795","42,793",32,3.8,2.4,47
Citrus,"37,012","38,021","39,055",36,2.7,2.7,40
Clay,"41,546","43,000","44,042",30,3.5,2.4,45
Collier,"89,607","98,303","99,382",2,9.7,1.1,63
Columbia,"33,553","34,676","35,583",45,3.3,2.6,42
DeSoto,"24,236","24,865","26,128",64,2.6,5.1,8
Dixie,"27,051","27,868","28,314",61,3.0,1.6,56
